file,label,class,generator,model,speaker,reference_file,original_reference_file,reference_text,reference_text_used,target_text,language,clone_mode,seed,seed_strategy,cfg_value,inference_timesteps,normalize,denoise,retry_badcase,sample_rate,channels,duration_s,peak,rms,clipped_fraction,sha256
voxcpm2_011.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_06,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk06_01__vox_ext_06_008.wav,vox_ext_06_008.wav,hemos votado por un futuro en el que el reino unido participe en los asuntos de todos los continentes incluida europa;,False,Esta mañana encontré las llaves encima de la mesa del salón.,Spanish,reference_only_voice_cloning,2026091911,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,2.720000,0.90399170,0.12491854,0.00000000,0cf9adc92926824c9d81f9c80ac52313ecf4d8b55fdda64d40a72d4280f4be6b
voxcpm2_012.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_06,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk06_02__vox_ext_06_003.wav,vox_ext_06_003.wav,los españoles van a ver cómo sus ahorros pierden valor y cómo el importe de sus deudas se disparan.,False,Los participantes recibieron las instrucciones antes de comenzar la actividad.,Spanish,reference_only_voice_cloning,2026091912,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,4.000000,0.41201782,0.05452853,0.00000000,c37e953247b842811036c4f4381d6d5695b52386e094166f6a1e28f2d0ca47b7
voxcpm2_013.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_07,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk07_01__vox_ext_07_005.wav,vox_ext_07_005.wav,los movimientos populares están en todas partes en túnez en egipto en las plazas en españa durante el movimiento de los indignados y también en asia.,False,El informe incluye una explicación detallada de todos los resultados.,Spanish,reference_only_voice_cloning,2026091913,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,3.360000,0.99697876,0.31311151,0.00000000,7f55e993743e285612395688c1375d4da238ec4e598f17bb1b1c687456647c87
voxcpm2_014.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_07,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk07_02__vox_ext_07_004.wav,vox_ext_07_004.wav,acaso no interviene la unión europea cuando sus miembros venden armas a israel?,False,La próxima semana tendremos una nueva sesión para revisar el progreso.,Spanish,reference_only_voice_cloning,2026091914,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,5.440000,0.32897949,0.04633457,0.00000000,b94a07da934a20d5d61ebe0b634f17835eee260d74deeb4e5dda3c143a19e57e
voxcpm2_015.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_08,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk08_01__vox_ext_08_008.wav,vox_ext_08_008.wav,gracias al parlamento europeo por no abandonar al pueblo cubano en este bregar de más de medio siglo hacia la democracia.,False,El archivo contiene únicamente la información necesaria para realizar la prueba.,Spanish,reference_only_voice_cloning,2026091915,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,4.320000,0.64715576,0.06407495,0.00000000,851590f182ec8a48c7cce112d456cef5eb7f477c741aadad41223dffcaab8e23
voxcpm2_016.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_08,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk08_02__vox_ext_08_004.wav,vox_ext_08_004.wav,ellos y sus familiares soportan un destierro psicológico pues sus seres más queridos resultaron extorsionados por el gobierno neoestalinista cubano.,False,La universidad publicó ayer el calendario definitivo del próximo curso.,Spanish,reference_only_voice_cloning,2026091916,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,4.960000,0.46868896,0.04389774,0.00000000,d1dd3e5bc3d6fb767d58036c281f51d8f45c3e88284c1f675927fcb796dfb9b5
voxcpm2_017.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_09,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk09_01__vox_ext_09_001.wav,vox_ext_09_001.wav,con esta propuesta vamos a disponer de más medios más eficaces para luchar contra el fraude y la evasión fiscal en europa.,False,Después de analizar los datos podremos comparar los diferentes métodos.,Spanish,reference_only_voice_cloning,2026091917,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,3.520000,0.45574951,0.05593683,0.00000000,3f44bb7a8e63b7789358511abfa46e428584d48599d79e57c16fd6d591612c04
voxcpm2_018.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_09,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk09_02__vox_ext_09_003.wav,vox_ext_09_003.wav,los estados miembros son parte de un proyecto político y las relaciones entre sus sistemas fiscales deben ser acordes con este proyecto político.,False,La grabación se realizó en una habitación tranquila y sin ruido de fondo.,Spanish,reference_only_voice_cloning,2026091918,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,3.840000,0.34332275,0.03579070,0.00000000,38c8d6daa20f55271788c76171385525b01f5bbbcfed4dffaaec24979cd3f68e
voxcpm2_019.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_10,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk10_01__vox_ext_10_006.wav,vox_ext_10_006.wav,para las autoridades nigerianas unas guías para que la persecución de unos crímenes no las lleve a cometer otros y a entrar así en una espiral de difícil salida.,False,Cada muestra debe conservarse sin modificaciones después de la evaluación.,Spanish,reference_only_voice_cloning,2026091919,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,3.520000,0.36022949,0.05009420,0.00000000,dc731245a11eeddb86b11fa22ece35e4b612caa6fa25c7961c39bcfbd3f7c408
voxcpm2_020.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_10,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk10_02__vox_ext_10_001.wav,vox_ext_10_001.wav,por eso insisto espero contar con su apoyo para aprobar la enmienda que pide una investigación internacional de estas cuestiones bajo el auspicio de las naciones unidas.,False,Los resultados finales se utilizarán para estudiar la capacidad de generalización.,Spanish,reference_only_voice_cloning,2026091920,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,4.480000,0.33325195,0.04460780,0.00000000,2dbf71e3ac808b460f61e37aa703b62ede06ae8d03e15e7778cd84f55c5682c3
