file,label,class,generator,model,model_snapshot,speaker,reference_file,original_reference_file,reference_text,target_text,language,clone_mode,seed,sample_rate,channels,duration_s,peak,rms,clipped_fraction,sha256
qwen_011.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_06,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk06_01__vox_ext_06_008.wav,vox_ext_06_008.wav,hemos votado por un futuro en el que el reino unido participe en los asuntos de todos los continentes incluida europa;,Esta mañana encontré las llaves encima de la mesa del salón.,Spanish,ICL,2026091511,24000,1,3.280000,0.71484375,0.09123535,0.00000000,70c98429f38d729fe230cc8c460e04d7fbb0f8b4ac70e95b225b0eb0625e2452
qwen_012.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_06,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk06_02__vox_ext_06_003.wav,vox_ext_06_003.wav,los españoles van a ver cómo sus ahorros pierden valor y cómo el importe de sus deudas se disparan.,Los participantes recibieron las instrucciones antes de comenzar la actividad.,Spanish,ICL,2026091512,24000,1,4.320000,0.31250000,0.03902581,0.00000000,15af01f89fa6262c0e8d9f896895f62517d3ad61122c4f8a0ef3cdd7467e3d5a
qwen_013.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_07,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk07_01__vox_ext_07_005.wav,vox_ext_07_005.wav,los movimientos populares están en todas partes en túnez en egipto en las plazas en españa durante el movimiento de los indignados y también en asia.,El informe incluye una explicación detallada de todos los resultados.,Spanish,ICL,2026091513,24000,1,4.240000,1.00000000,0.23246516,0.00001965,e08c653c35152496d3eeddc049ab16251420b49cd22031aab0967cfe857fe5c9
qwen_014.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_07,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk07_02__vox_ext_07_004.wav,vox_ext_07_004.wav,acaso no interviene la unión europea cuando sus miembros venden armas a israel?,La próxima semana tendremos una nueva sesión para revisar el progreso.,Spanish,ICL,2026091514,24000,1,10.000000,0.26171875,0.03854739,0.00000000,067bd523555fef7b36340d5d14d96521de086a776b9a0544d4341f443c6cb28e
qwen_015.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_08,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk08_01__vox_ext_08_008.wav,vox_ext_08_008.wav,gracias al parlamento europeo por no abandonar al pueblo cubano en este bregar de más de medio siglo hacia la democracia.,El archivo contiene únicamente la información necesaria para realizar la prueba.,Spanish,ICL,2026091515,24000,1,5.440000,0.36328125,0.02792308,0.00000000,be9b389e38ba948caeb330b0acf8d04c250124e91972e6c7944428c65a45b490
qwen_016.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_08,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk08_02__vox_ext_08_004.wav,vox_ext_08_004.wav,ellos y sus familiares soportan un destierro psicológico pues sus seres más queridos resultaron extorsionados por el gobierno neoestalinista cubano.,La universidad publicó ayer el calendario definitivo del próximo curso.,Spanish,ICL,2026091516,24000,1,5.200000,0.45703125,0.04437932,0.00000000,654eab5e6f42f74e21750a5d2f0fc47765d33c8efbbf6690c3248b4f94688b88
qwen_017.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_09,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk09_01__vox_ext_09_001.wav,vox_ext_09_001.wav,con esta propuesta vamos a disponer de más medios más eficaces para luchar contra el fraude y la evasión fiscal en europa.,Después de analizar los datos podremos comparar los diferentes métodos.,Spanish,ICL,2026091517,24000,1,3.840000,0.36132812,0.04424666,0.00000000,29c21a731f5ad3ceffea086c0b60dabb984778317504b7e03033aee6a59527a1
qwen_018.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_09,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk09_02__vox_ext_09_003.wav,vox_ext_09_003.wav,los estados miembros son parte de un proyecto político y las relaciones entre sus sistemas fiscales deben ser acordes con este proyecto político.,La grabación se realizó en una habitación tranquila y sin ruido de fondo.,Spanish,ICL,2026091518,24000,1,3.840000,0.19824219,0.02568755,0.00000000,ba3f3cd52e1bd873024776c6688d4fbdde06eb1e1987be0ab7ba15917609c46b
qwen_019.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_10,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk10_01__vox_ext_10_006.wav,vox_ext_10_006.wav,para las autoridades nigerianas unas guías para que la persecución de unos crímenes no las lleve a cometer otros y a entrar así en una espiral de difícil salida.,Cada muestra debe conservarse sin modificaciones después de la evaluación.,Spanish,ICL,2026091519,24000,1,4.560000,0.36718750,0.03801741,0.00000000,f29221d4455cad510b6083f4d65a013d0db6e94893f82d2f4ca5ceab2f07e59b
qwen_020.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_10,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk10_02__vox_ext_10_001.wav,vox_ext_10_001.wav,por eso insisto espero contar con su apoyo para aprobar la enmienda que pide una investigación internacional de estas cuestiones bajo el auspicio de las naciones unidas.,Los resultados finales se utilizarán para estudiar la capacidad de generalización.,Spanish,ICL,2026091520,24000,1,4.960042,0.29101562,0.03680400,0.00000000,e058f8c6b5d0770f962f78413cd003944463ec1ac494cedce1c5ddb8f94ab7e8
