file,label,class,generator,base_generator,base_language,base_speaker,base_speed,speaker,reference_file,original_reference_file,reference_text,reference_text_used,target_text,language,clone_mode,seed,base_sample_rate,sample_rate,channels,duration_s,peak,rms,clipped_fraction,sha256
openvoice_011.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_06,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk06_01__vox_ext_06_008.wav,vox_ext_06_008.wav,hemos votado por un futuro en el que el reino unido participe en los asuntos de todos los continentes incluida europa;,False,Esta mañana encontré las llaves encima de la mesa del salón.,ES,melo_tts_plus_tone_color_conversion,2026091811,44100,22050,1,4.191202,0.51980591,0.08233924,0.00000000,d7d1933ea0000397f125c972d2c65cb1183ad9c5125136e315a8c265c4e98063
openvoice_012.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_06,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk06_02__vox_ext_06_003.wav,vox_ext_06_003.wav,los españoles van a ver cómo sus ahorros pierden valor y cómo el importe de sus deudas se disparan.,False,Los participantes recibieron las instrucciones antes de comenzar la actividad.,ES,melo_tts_plus_tone_color_conversion,2026091812,44100,22050,1,5.328980,0.56869507,0.07380301,0.00000000,de8f9c451c38892148cec158059f7e30fd041f41177e4b4dea4e34a8f027d0de
openvoice_013.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_07,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk07_01__vox_ext_07_005.wav,vox_ext_07_005.wav,los movimientos populares están en todas partes en túnez en egipto en las plazas en españa durante el movimiento de los indignados y también en asia.,False,El informe incluye una explicación detallada de todos los resultados.,ES,melo_tts_plus_tone_color_conversion,2026091813,44100,22050,1,5.003900,0.65063477,0.08080461,0.00000000,8094068d3d3c64cb6588536cdbe0b2b2d1659b64c9586692edc80e9ecd4ec31a
openvoice_014.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_07,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk07_02__vox_ext_07_004.wav,vox_ext_07_004.wav,acaso no interviene la unión europea cuando sus miembros venden armas a israel?,False,La próxima semana tendremos una nueva sesión para revisar el progreso.,ES,melo_tts_plus_tone_color_conversion,2026091814,44100,22050,1,5.061950,0.76559448,0.08101572,0.00000000,4b0545b2ee1e3fea6045b2104e85708e6a4af17a3296f34c638fe469a02ab0d3
openvoice_015.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_08,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk08_01__vox_ext_08_008.wav,vox_ext_08_008.wav,gracias al parlamento europeo por no abandonar al pueblo cubano en este bregar de más de medio siglo hacia la democracia.,False,El archivo contiene únicamente la información necesaria para realizar la prueba.,ES,melo_tts_plus_tone_color_conversion,2026091815,44100,22050,1,5.537959,0.67095947,0.06949637,0.00000000,5019b35c1dc3cad3f47098d82a70f6f6a63aa6e385b28793f57673aef3ed1c3a
openvoice_016.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_08,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk08_02__vox_ext_08_004.wav,vox_ext_08_004.wav,ellos y sus familiares soportan un destierro psicológico pues sus seres más queridos resultaron extorsionados por el gobierno neoestalinista cubano.,False,La universidad publicó ayer el calendario definitivo del próximo curso.,ES,melo_tts_plus_tone_color_conversion,2026091816,44100,22050,1,5.224490,0.75155640,0.08078402,0.00000000,a45b7b28d50cf5beed2070091671bc304514f738fdd0b4f2692321c26984585d
openvoice_017.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_09,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk09_01__vox_ext_09_001.wav,vox_ext_09_001.wav,con esta propuesta vamos a disponer de más medios más eficaces para luchar contra el fraude y la evasión fiscal en europa.,False,Después de analizar los datos podremos comparar los diferentes métodos.,ES,melo_tts_plus_tone_color_conversion,2026091817,44100,22050,1,5.108390,0.55239868,0.08688389,0.00000000,3375c3499f5ad1b136d2f43539ad018ba2a2d46bd7492401f143ee45aa2e3b46
openvoice_018.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_09,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk09_02__vox_ext_09_003.wav,vox_ext_09_003.wav,los estados miembros son parte de un proyecto político y las relaciones entre sus sistemas fiscales deben ser acordes con este proyecto político.,False,La grabación se realizó en una habitación tranquila y sin ruido de fondo.,ES,melo_tts_plus_tone_color_conversion,2026091818,44100,22050,1,4.945850,0.52401733,0.08316822,0.00000000,54d9a50f2c270c5a9cc7bb22eb2c397201210a407f0eb91f4a8472fe955fee69
openvoice_019.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_10,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk10_01__vox_ext_10_006.wav,vox_ext_10_006.wav,para las autoridades nigerianas unas guías para que la persecución de unos crímenes no las lleve a cometer otros y a entrar así en una espiral de difícil salida.,False,Cada muestra debe conservarse sin modificaciones después de la evaluación.,ES,melo_tts_plus_tone_color_conversion,2026091819,44100,22050,1,4.969070,0.65686035,0.07418132,0.00000000,eacc7b5901c25b49a3119920e7b37ee6a86ab02c5dc66c706c85e75fbfb43680
openvoice_020.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_10,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk10_02__vox_ext_10_001.wav,vox_ext_10_001.wav,por eso insisto espero contar con su apoyo para aprobar la enmienda que pide una investigación internacional de estas cuestiones bajo el auspicio de las naciones unidas.,False,Los resultados finales se utilizarán para estudiar la capacidad de generalización.,ES,melo_tts_plus_tone_color_conversion,2026091820,44100,22050,1,5.688889,0.64004517,0.07089068,0.00000000,2acacc1a786d7f20a0681334cd25c37c36cd4f732e75c115c935102526a8c764
